text,label
"Vous me dites de m'arrêter, je m'arrête où je peux.",-1
Je ne suis pas vraiment dans l'ambiance pour un des de vos tête-à-tête d'où je sors,-1
Tu avais raison pour Morse. Il a hypothéqué tous ses biens.,1
Dieu te bénisse ! Tu as toujours été réglo avec moi.,1
j'ai vu qu'il les prendrait pas. j'allais en être pour mon fric.,-1
Je ne sais pas quoi faire avec la nouvelle bonne.,0
"J'ai presque fini, il ne me reste plus qu'à rédiger.",1
Aah ! Mais il me ... colle une serpillère dégueulasse sur ma veste en lin !,-1
c'est peut-être que le tort n'est pas de ton côté.,0
"Oui, tu l'as bien dit, c'est ce que je pense.",1
"Je crois qu'il viendrait me retrouver, si l'occasion se présentait.",1
"Tu n'aurais pas un peu abusé des feuilletons, dernièrement ?",-1
"C'est importé. On l'a livré en deux morceaux. Incroyable, non ?",0
Ramenez-moi dans mon monde. C’est tout ce que je veux.,1
ça m'a fait mal aux dents. Il me faut des clous de girofle.,-1
"Tu le connais très, très, très bien, en fait ! Pas du tout ! Mille excuses.",1
"Au fait, on a acheté un cheval. Ah bon ?",1
L'inondation a repris en cale! Trois hommes pris au piège!,-1
"Au pire, si t'as peur, tu lui donnes qu'une demi-dose.",-1
Elle pense que vous êtes la meilleure chose inventée depuis la pilule du lendemain.,1
"Bien sûr, chacun est libre d'écrire sur ce qu'il veut.",1
que tu es le plus chic type que j'aie jamais rencontré!,1
"Désolé, petit. Je m'excuse à l'avance de ce qui va suivre.",-1
Ce n'est pas dans ma gamme de couleurs et je ne le porterai pas.,-1
"Ne vous méprenez pas, je suis très heureux être tiré d'elle.",1
"700 livres dues sur la pension, et arrêté pour attentat à la pudeur.",-1
"Il est Grand Capitaine de notre bon Roi, C'est le Comte de Montmirail !",1
Tu as un super boulot. Un emploi de bureau !,1
"-Tu peux leur faire confiance. Leur weed, c'est vraiment top quali.",1
Y'a aucun business comme lui ! Aucun plus dingue !,-1
Oui ! Je te regarde tout le temps. C'est incroyable.,1
"Vas-y, fais quelque chose, toi aussi. Qui t'en empêche ?",1
"Tous mes chevaux et tous mes hommes, à la rescousse !",1
"Viens prendre un bon bol d'air frais dans la neige, ça va te faire du bien.",1
"Les femmes modernes ne se contentent pas de s'en remettre à leurs maris,",1
"Tu veux que je sois réaliste ? Alors, écoute-moi bien.",0
Vous comprenez pas. Tu piges pas. La boutique est fermée.,-1
Tu parles de dignité et tu te fais des mecs !,1
C'est tout à fait moi. Je ferai une princesse divine.,1
"Mais il dort pas là ! Non, il doit somnoler. Il somnole, là.",-1
"Je ne renonce à mes armes sous aucun prétexte, punto à la ligno.",1
feraient plus de dégâtss s'il se les prenait dans la tronche.,-1
mais on recueille des fonds pour aider les écoles déshéritées.,0
"C'était un faux. ça vous intéresse pas du tout, ce que je vous raconte.",-1
"Maintenant, nous sommes tous gentils et réchauffés, livrons ces bébés.",1
"J'avoue que j'ai été assez meurtri, je m'arrange pour virer l'autre folle, vous me remerciez à peine...",-1
Avec son père il a le parachute le plus doré de tous les temps.,1
"Au nom d’Abaddon, toi, le meunier et toi, fils de chienne. Vous êtes condamnés ...",-1
Déjà rentré ? Vous ne deviez arriver qu'à 18 heures.,0
je verrai tout de suite s'il y a un problème.,1
Il faut garder des copies des reçus destinés aux donateurs.,0
Et s'ils veulent déduire le don de leurs impôts ?,-1
"Je te crève ! Aligne mon fric, enculé de suceur de bite !",-1
Tu gâches tes meilleures années avec des choses qui ne te concernent pas.,-1
"Mais ça a été désagréable, je ne te l'ai pas dit.",-1
"Mais parfois, tu utilises ces qualités pour étouffer les autres,",-1
Et je prierai Dieu de ne jamais revoir votre charmant visage.,-1
Ce pays est un gigantesque arsenal. Y a qu'à se servir.,1
follement jalouse du charme et de la beauté de Cendrillon.,1
pour étudier les effets du sol sur la décomposition des cadavres.,0
Il pourrait y avoir jusqu'à 30 enfants ! Génial !,1
"N'oublie pas que je suis là, en cas de besoin.",1
"Allez à Wall Street. Là, y a de vrais voleurs !",-1
"Enfin, elle a déjà montré son enthousiasme d'être dirigé par vous! Elle s'en extase!",1
"au propos, tu as fait quoi pour la lettre ?",0
"ll y a 75 ans, j'ai été nommé Méca de l'année par Time.",1
