,id,text,label,len
85,2683,merrick  jamais présenter société londonien,-1,5
86,2278,déjà quelqu   estce pas harry,-1,5
87,1900,journée sniffe pas  coup,-1,4
88,4222, demander  simple bien,0,3
89,2574,marié porte femme maison,0,4
90,9763, impossible hub   sceau montmirail vendre papa château,-1,7
91,4759, raison faire soirée,0,3
92,16, boulot  pas mélodie bonheur,-1,4
93,2871, estce fout  protéger,-1,3
94,2408, hémolyse globule rouge aller exploser,-1,5
95,1867,faire mois  fiche falloir  enlever,0,5
96,2058,parer vieux penser,-1,3
97,4740,profite spectacle savoir regarder,1,4
98,6861,cerveau dégrade perte langage mémoire,-1,5
99,4472, eau mélisse sert,1,3
100,5962,arriver sr  taire bon id,1,5
101,6495, aller noyer mettre main,-1,4
102,165,excusezmoi croire  clé part,-1,4
103,4599,blé dieu ’ oublier,0,4
104,3680,devoir faire,0,2
105,1844, sympa faire queue,1,3
106,3392,veux faire blanc bec  héros,0,5
107,3611,david  aviser situation examiner option,1,5
108,2872,tordre faucille dur marteau,-1,4
109,1996,glaner bribe accessible science,1,4
110,390,déjà mettre pied mosquée,-1,4
111,893,dûner falloir robe soir venir,-1,5
112,2804,décret président faire perdre temps précieux,-1,6
113,7012,joue con aller forcer déranger,-1,5
114,6953,signe john bernie pas vus,-1,5
115,1715,déconne aller payer chambre,-1,4
116,7025,savoir pas yuri savoir pas,0,5
117,9180, soldat lit allez asseoir minute tenezlui main,0,7
118,4720,pantalon projecteur ouai import,-1,4
119,5733,aller falloir   année,1,3
120,5532,cousin partir Monsieur ouill,0,4
121,3033,lismoi  estce,0,2
122,8412,traîner partout marin fille marre,-1,5
123,9476,vouloir dr sorbier  appeler part pierre brochant,0,7
124,9513,taire croire  choix aller làba travail pas jouer golf,-1,9
125,3772,vent tourner boyscout prendre,-1,4
126,1470,parisien sorte charme indéfinissable,1,4
127,3546,tenter chance venir gagner vrai buzz lightyear,1,7
128,3092,faire mieux chercher chemin,-1,4
129,9823, pas venir  hôpital  voir perdre misérable,-1,6
130,4993, croire pas aller jamais jamais sortir,-1,6
131,6259, trouver boîte cigare,-1,3
132,8304,professeur oui comprendre pas problème,-1,5
133,283,veux  passer route pas,1,4
134,2520,quelqu  aller ennui,-1,3
135,5825,compte  jamais voir,0,3
136,7742,noble droit cuissage nuit noce,-1,5
137,3579,marque   traite,0,2
138,2654,espèce vieillard aller faire foutr connard,-1,6
139,8986, gentil déranger pas préférer rester bon nuit,-1,7
140,7301,ete bourrer whiskey ete tomber glycérine,-1,6
141,2749,tolérant malade,1,2
142,9778,laisse oeil semaine,0,3
143,6438,film confondre histoire sœur colette,0,5
144,5164,descendre choc continuer,0,3
145,6455, devoir signer accord pas voir david,-1,6
146,8742,rembourrage venir farce naturellement  estce  trahir,-1,6
147,6933,vie pauvre nase saoîler mort,-1,5
148,3233,devoir porte dérobée passage secret,0,5
149,3832, pas excuser  pas faute,-1,4
150,2983,turner mettre mouvement  arrière terrain,0,5
151,3894, trop content quelqu  sentir bougie,1,5
152,3896,heure mat mois  absence,0,4
153,2007,revien commandant peau,-1,3
154,5029,problème aller chambre,0,3
155,4668,deviner jamais jamais vie,-1,4
156,4309, doudou baises femme,-1,3
157,8938,maman  honte touve objet curieusité,-1,5
158,8529, jamais mettre pied yacht mètre,-1,5
159,4191,descendre rivière  conseillezvous lancer,0,4
160,6624,falloir établir circuit niveau parsecs,0,5
161,7318,pouvoir inventer histoire  pas envie mentir,-1,6
162,2220, occuper lily,1,2
163,6245,voiture  trouver alex,0,3
164,6569, entendre entrer contente voir,1,4
165,7123, mort oiselle jamais accoupler,-1,4
166,5870,vouloir perron trempé,-1,3
167,5756,fai fai,0,2
168,2386, cache  extinction feux,0,3
169,4926,servir leçon,-1,2
170,8613,gêne  venir chercher sec,0,4
171,8566,ale fai demitour merde flic cul pouvoir pas,-1,8
172,652, amène règle numéro lingette,0,4
173,5714,partir fenêtre nuit venir voir,0,5
174,1506,content,1,1
175,4777, utilité  chapeau tendance société,1,4
176,4636,fée bleu existe lieu lieu,1,5
177,169,pousser  corne,0,2
178,5742,garanti venir caroline sud,0,4
179,2216,joue pas con  inscrire pas,-1,5
180,5259,enlevez veste mourir falloir sang,-1,5
181,5951,matre dsintgr drode protocole,1,4
182,4593,oui grand héros connaître,1,4
183,2335, pousser fond  aller vite très vite,0,6
184,7575,ami voir  fai pas souci,-1,5
185,6974, estce regarde veux prose,0,4
186,2571,namjoo raconteleur   heure,0,3
187,349,coup  voiture prendre ,0,3
188,9571, rer bol boniment croire pas point ,-1,6
189,7396,alley désolé clôture interfèrent travail,-1,5
190,4784,manger tarte miette,0,3
191,9900,brouiller  ii tourner autour femme pas  prise,-1,7
192,3317,imaginer pas,-1,2
193,978,tiers part,-1,2
194,4508,impératif  bien joli pleine coup,-1,5
195,4316,semer bibi pas,0,3
196,9081,salaud saligaud  faire exprès regarder mme picard,-1,7
197,5609,gitan connu  art négocier affaire,1,5
198,3723,déteste noncroyant   foi idéal,-1,4
199,1727,maud chéri pas esprit  attarder làdessus,-1,6
200,6370,estourbir collaborateur  pompon,-1,3
201,2999,chose nom,0,2
202,4040, trouver benne mac,-1,3
203,3667,éclopé maison fous  savoir rien,-1,5
204,1799,voir pas faite  histoire,-1,4
205,9411,savoir passer scène jardin croire  savoir,0,6
206,7905, pas moufté remonter  pas revoir,-1,5
207,4339,aller rémi bouge pas venir chercher,-1,6
208,9873,tombe très bien appeler part roussin  pas pouvoir joindre meneal prendre  avion,1,12
209,8941,  demi heure,0,2
210,7106,oui falloir  avertir fripouille  voir enchanteur tantôt,-1,7
211,7763,chéri  pas question arrêter  appeler chéri,-1,6
212,4293,vouloir bien petit coupe ruinart,0,5
213,1383,convoqu réunion noble faire,0,4
214,852, déjà stallone bout,1,3
215,3358,inquiter pas savoir  falloir faire,0,5
216,1049, aller rien grand espace,1,4
217,5266,trouver paix prie,1,3
218,177, estce vouloir vouloir enlever,0,4
219,6228,désoler truc partir  ouvrir pas bouteille,-1,6
220,8807,seraitil table soir,0,3
221,9736,pignon prénom  françois  oui bien  pareil ,1,6
222,5344,aller cour  livrer légume,0,4
223,1163,devine anniversaire,0,2
224,3913,taire pouvoir pas retourner maison penny  accord,-1,7
225,2628, gros type bande làba,0,4
226,8546, pas rester écouter,-1,3
227,6788,cours enrichir ensembl taire  souvien pas,-1,6
228,7379,aller toujours dûner mercredi prochain   inviter,1,6
229,3056,johnson common glace  pouvoir manger,1,5
230,4156,faire gâcher,1,2
231,9984,censé ami aller pas faire heure supplémentaire ben connaître pas cheval contrôler mère,-1,13
232,9838,femme signer roman nom jeune fille christin guirrec bon breton,-1,10
233,1016,meurtrière muette bûcher,-1,3
234,3607,gros  signer jusquelà,0,3
235,5145,désoler fait professeur tôt malentendu,-1,5
236,7784,erreur énorme connerie oui français français,-1,6
237,9268,sortir faire course prévien  rentrent,0,5
238,680, peutêtre rattraper littl rock bon,1,5
239,3268,  police,-1,1
240,6588,fédé partout aller aller,-1,4
241,8532,période pennsylvania av doute bel vie,1,6
242,3956,besoin  héros  impossible,-1,3
243,9997, fou aller rappliquer  fou aller rappliquer voir arriver femme dis   follingue,-1,11
244,6695,perdre pouvoir vraiment pas supporter soir,-1,6
245,4067, pas vraiment oncle jamais,-1,4
246,791, chaud  mal cœur,-1,3
247,6976,âne  mettre pleurer braire,-1,4
248,3137,vouloir proposer  emmener madrid,0,4
249,1720,croire pas  pas lien consanguin,-1,5
250,6042,pouvoir  écraser vrai pro,-1,4
251,139,espérer aller mourir  arriver pas,-1,5
252,5018,vache  voir voir heu,1,4
253,3498,imaginer retraite suffire pas nourrir chien,-1,6
254,3480,toujours baisse an tard,-1,4
255,335,fille  association  écrire,0,3
256,1752,fière allur joli manteau paille,1,5
257,2327,falloir pas  savoir pas  immédiat,-1,5
258,2659,mets affaire paysan cachele bien,1,5
259,5501,hurle pas  envier prier prier,-1,5
260,5489,nommemoi cousin hubert jamais messire,0,5
261,8013,once respect vousmême remettre livre,-1,5
262,4988,puisj poser question travailler,0,4
263,2159,téma mec pardon culotte cadre,-1,5
264,1333, empêcher animal sortir,-1,3
265,8670,heureux emmener petit dame  làhaut,-1,5
266,6140, luci  pas nom pute  lulu,0,5
267,8310, dee dee  avai maman,0,4
268,4856,paulie vient  falloir aller sortir,-1,5
269,2207, estce taire fous  taire sors,0,5
270,4867,  aller,0,1
271,6137,garon dixhuit an soldat  arm,0,5
272,8026,très bien fermer oeil pouvoir pas tenter,1,7
273,5429,souffrir bronchite chronique battre,-1,4
274,569,  chose souvenir,-1,2
275,2961, cirque  achève pas,0,3
276,3031,pas mal considérer  partir,1,4
277,522,rappeler nuit père mort,-1,4
278,8223,jacky lancer boul  éclate aller,1,5
279,3438,ciel monde inconnu profond mer,0,5
280,3724,falloir grandi village électricité,0,4
281,9804,papa toujours prétendre  souterrain partir chambre hardi cousin jamais trouver,-1,10
282,4464,père flanquer tourlouze,0,3
283,3910, persuader wichita faire  ,1,3
284,628, chose  réussir vie,1,3
285,8684,taper métro  angoissaient fin mois  zéro,-1,6
286,5393,garde pouvoir bouger ,0,3
287,9698,savoir pas souvenir pas peutêtre  taire,0,6
288,4312,pouvoir pas  tiser  permettre,-1,4
289,1508,hermann toujours correct devoir explication,1,5
290,6609,cherchaient pou lufthansa fait  stups,-1,5
291,517, oublion pas calcium os dent,1,5
292,2810,dis alabama pouvoir poser petit question,0,6
293,2840, peutêtre forcer  rien pouvoir,-1,4
294,6600,problème faire  pouvoir,1,3
295,810,mari venir  arrirepays pcher usine,0,5
296,8276,demain croire aller devoir montrer marche,0,6
297,3505,montr Monsieur chien ramasser jour,0,5
298,9171,forcer pas faire mal green fai voir ,1,7
299,1783,lord ascot quelqu  bureau personnel,-1,5
300,8215,tête crétin  saint homme,-1,4
301,9107, honneur bel bien membre  réseau actif,1,6
302,5158,seija envoyer  avocat boîte  occuper,0,5
303,493, estce taire fou devais  round,-1,5
304,8234, forcer rentrer choper jaunisse coup biture,-1,6
305,2193,chambrezle vouloir répondre lascar,1,4
306,304, estce raconte  voir,0,3
307,2836, pas repas maison route,-1,4
308,257,monde toit saute,0,3
309,2324, estce prendre marijuana,-1,3
310,9310, peur stratégie excellent  pas stratégie  inquiet  stratège,1,7
311,3979,aller donner fond aller faire mal,-1,6
312,137, estce fai vouloir  eau chaude,-1,5
313,1590,oiseau million devenir présent lion,1,5
314,8913,très chose michael presque dossier disparaître,-1,6
315,5730,atil plaquer coup sifflet croire pas,-1,6
316,1491,farandole  faire,1,2
317,1322, servir oui très attacher,0,4
318,4807,commencer émerger voir,-1,3
319,1994,rien rien  demeure surface,-1,4
320,2831,partir chicago marier,0,3
321,419, jamais voir admettre moindre tort,-1,5
322,2009,trace visiteur celler  bipède,0,4
323,4497,témoin  entendre,1,2
324,3769,prendre train marche monte bord,0,5
325,2020,pouvoir pas faire,-1,3
326,9441,bordel sac trop poche pouvoir chier,-1,6
327,1541,toutàl  heure mariage intervenir mai,0,5
328,890,fille connai pas,-1,3
329,4235,intuition conviction sueur froid ange démon,-1,6
330,7549,bientôt pluie remplir canal  mer,1,5
331,5979,ooh stupide retomber fesse,-1,4
332,5323,gros bonhomme fer   manger,1,4
333,9790,gagner cornard vouloir brochant pas facile gagner,1,7
334,811,pasteur dison pas,0,3
335,6167,mouvement volt effrayer jumeau,-1,4
336,5022, blessant prend pilule faire test,-1,5
337,5860,croire pas bien oui,-1,4
338,147,sentezvous pas  fièvre,-1,3
339,9749,pierre brochant courant femme arrive casser bravo françois bravo,-1,9
340,813, iliouchine avion pouvoir prendre tonne,0,5
341,1726,seine commencer monter rapidement normal,0,5
342,2044,techniquemer  pas européen techniquement clairement japonais,0,6
343,3278,désoléé appartenir  famille,-1,3
344,4838,partir vacance caraïbe vegas,0,4
345,4697,tenenbaum savoir  fumer  âge an,0,5
346,1474,laissez tomber doucement terre aller,1,5
347,8207,bague hardi pauvre amie flambe,0,5
348,7556,chose croire,0,2
349,8376, désolé  pas drôle tour rein,-1,5
350,1433,point  embrasser roi,0,3
351,8415,homme peutil expliquer mécanisme  illusion angier,0,6
352,107,vivre petit frère,0,3
353,7725, déjà rencontrer fait pot noël  an sheraton,0,7
354,5679,prend pas doigt prend prend cui,-1,6
355,2338,veuxtu clair temps presse,-1,4
356,8918,ii  échappe  justice   enlever,-1,4
357,2596,mets jamais pied salle  interrogatoir,-1,5
358,5341,rester douloureux traumatiser atroce,-1,4
359,6003,sûr  apporter soleil,1,3
360,9992,savoir prendre venir domicile main professeur sorbier diriger service rhumatologie  hôpital broussai  pas besoin maurice,0,15
361,6910, atil rien pouvoir faire distraire,0,5
362,9495,tenter joindre prendre  avion message urgent,0,6
363,8097,maya comprendre leçon veille devoir trouver moyen,0,7
364,2833,désoler  faire savoir pas,-1,4
365,3030,faire beau boulot jeune homme,1,5
366,9890,fond moimêm  toujours grand champ ruine souhaite homme pas mari,-1,10
367,3516,savoir chien revenir jamais,-1,4
368,6387,pas choix général von krapp venir  arriver,0,7
369,4329,fous gueule  pote,-1,3
370,8482,savai pas cul dis aller,-1,5
371,5766,femme bel mlle haru problème,-1,5
372,2994, besoin approuver choix  accord,-1,4
373,8898,qi mesurer classe catégorie,0,4
374,8925,stade lsu  appeler vallée mort cause histoire,-1,7
375,3334,vouloir pas falloir reposer,-1,4
376,8632, irai pas chemin soldat  service demander,0,6
377,8129, pub  lieu sûr seron sécurité,1,5
378,7446,shrek regarde pouvoir pas laissemoi retourner,-1,6
379,8860,malade malade  faire enfermer  malade,-1,5
380,9641,faire pas tête hub aller rapporter bague hardi point ,-1,9
381,6036, lapin,1,1
382,6764,oui  faire fait  faire penser,-1,5
383,2921,traiter pas mère pute,-1,4
384,7616,hidayet avocat  pas  falloir venir voir,-1,6
385,5009,revendrai  pas business,-1,3
386,5254,mina  astu  beau jour vie,1,5
387,8856,donne envie vomir entendre  entendre,-1,5
388,6273,coup ralise flingue bombe révolution,0,5
389,9644,taire prendre chambre vouloir pas quitter,-1,6
390,7174,veuxtu taire place,-1,3
391,7108,femme pochtronne cachette espèce pignouf,-1,5
392,6795,livre  heure trou cul monde,-1,5
393,4557,souvenir camarade avezvou remarque faire,0,5
394,2400, obéir ordre draculer  écrire lettre,0,5
395,3897,elvis imposteur prendre  homme noir,-1,5
396,8980,bon ben pouvoir aller très mal,-1,6
397,3263,retrouve glace corps intact,1,4
398,7157, tromper lieu papa  tordre,-1,4
399,57, pas chaude prendre route ensembl,0,5
400,5420,fai menteur signe,-1,3
401,9324,chose faire  bâtir mur autour,0,5
402,4631,leveur matin tombeuse soir robot classe sierrer,0,7
403,6993,mère michel perdre chat retrouver,-1,5
404,3819,voyon pouvoir résoudre raison personnel vouloir,0,6
405,1381,laisse soin  étouffer petit rébellion,-1,5
406,2337,vouloir bien   entend aller cher,0,5
407,5242,pareil occasion présenter  vie,-1,4
408,3423, pas  aller,-1,2
409,2105,connaître papa  faire entorse règlement,-1,5
410,8463,arrive temps devoir tirer gagnant sort,0,6
411,4714,mme tenenbaum sherman prier  assister mariage,1,6
412,8309,savoir bien gosse richer tremblent école public,1,7
413,8728, pas entendre sûre  entendre chose,-1,5
414,4726, fai pas aller arriver éclair,1,5
415,1952,aller finir vie peau  plouc,-1,5
416,876,pouvoir fille gratuitement vouloir professionnel,1,5
417,353, islam religion civilisation haute culture,1,5
418,7545, faire saucisse pâte brewster soir partir,0,6
419,9511,devoir sentir très mal falloir aller besoin,-1,7
420,366, pas nécessaire  pas bien grave,-1,5
421,7360, prendre calmant dors veux voir soir,-1,6
422,1022,putain sally  cacher chose,-1,4
423,8668,donner chance montrer public pouvoir placer confiance,1,7
424,7299,médite exemple fille apre an mariage,1,6
425,9800, trouver vieux instamatic marche toujours béa vide molaire monsieur pelissier oui aller  arranger,1,13
426,9451,test act faible pas  faire mieux repassant regard,-1,8
427,4061, avon rien tromper magasin,-1,4
428,1595,repère zone service touche pas,-1,5
429,1709,taire  pas remettre mort rachael,0,5
430,5561,mari emmener enfant foire  illinois,0,5
431,3002,enfance  woody allen,0,3
432,9403,chance  pas tuer taire devoir réaliser taire harry,1,8
433,87,ciel ressembl pouvoir déplacer,0,4
434,864,payer  heure pouvoir aller,0,4
435,8284,sean sportif pro utilisent futon faut lit grand,0,8
436,1021,falloir pas honte  oui,1,4
437,9734,leblanc ami meilleur ami brouiller an content,-1,7
438,3154,refuser meilleur amie,1,3
439,23,oui falloir pas éveiller soupçon,-1,5
440,3511,verre chose  aimer beaucoup pouvoir pas,-1,6
441,5772,baron vien ’ aider recouvrir gâteau crème fouettée,0,8
442,880,baignoire grand blue banana,1,4
443,7100,tient pas vieux ter merde,-1,5
444,725,volt rien,-1,2
445,6778,vieux prendre large coup canon soir,1,6
446,7666,donne vouloir pas vouloir  argent mexicain,-1,6
447,5737,commencer pas recruter  coach,0,4
448,1977,falloir pas  pouvoir tomber  émettre demain,-1,6
449,1392,condition roi  jamais fidèle,-1,4
450,3676,vouloir pas mal savoir,0,4
451,5868, avai attendre port venise,-1,4
452,5355,savoir restaurant  appeler baek,0,4
453,4396,bruno jamais taire trouvai gentil juif,1,6
454,6796, sauver vie dis pas  pas pote,1,6
455,5128,croyezmoi professeur  demander moimême question an,-1,6
456,5082,wink racont craque faire rien  vent,-1,6
457,2630,taire cherche client mat,0,4
458,9288, appeler aller pas lâcher fou  heure,-1,6
459,3472,wow vip nagi ravir rencontrer,1,5
460,2883,aime voiture bon chiant  aimes chiant,1,6
461,2170,savoir pas  fille pas mec,-1,5
462,1235,forain cul jettelui banane,-1,4
463,2005, rien làba oui lieutenant,-1,4
464,3786,  faire veux,1,2
465,2919,combat mater besoin  cravane,-1,4
466,9787,pierre besoin  pler appeler cheval veux voir   aille,-1,8
467,2484,robe couleur temps temps,-1,4
468,6425,cachette petit train  aller décorer,1,5
469,8512,frigo télé saisir loyer misère  pas,-1,6
470,2604,  attendre résultat ,0,2
471,2684,moquer john vouloir impressionner ami,1,5
472,8850,mourir faim aller rajouter fond gratin courgette,0,7
473,6851, homme  éclat passion  faire  amour bibliothèque,1,6
474,4917, intensité sifflet dépasser ouïr sens moimême,0,6
475,1468,oui dégonflé  fier figuretoi,-1,4
476,2023,démon secret âme planète,-1,4
477,7226,comporte  vouloir faire mal,1,4
478,1530,tomber bien  découvrir superrésister ,1,4
479,3590, avai an masser mec friquer miami beach,0,7
480,5801, prendre lettre invitation venir voir,0,5
481,4000,cogne coupable pardon,-1,3
482,8114,oui  pas  aim pas david di taire savoir,-1,8
483,5693, estce faire nourriture restaurant,-1,4
484,7834,ethel aime,1,2
485,5882,touchez pouvoir pouvoir pas comprendre,1,5
486,5833,oui oui oui sir bien  atil,1,6
487,8817, estce foutre  estce taire fous espèce crétin  abrutir,-1,8
488,4693, envoyer message  univers ouah,1,4
489,9742,habite salaud,-1,2
490,9789, voir  oeuvre meneau  jupon  horizon devenir fou,-1,7
491,2633,client  pas fric cul,-1,4
492,2447,sérieux  heure,1,2
493,3173,mesdemoiselle dignité  commencer,1,3
494,7034,moyen vivre détectiv priver,-1,4
495,3398, trouve pas demain baiser,-1,4
496,7811,ciel enlève vêtement temps nager lac,1,6
497,3363,garde devoir pas problme,1,4
498,6859, faire terrible  espérer pas pardonne,-1,5
499,1476,oui général chiper ticket pain,0,5
500,7599,détester montagne drap occuper moitié appart,-1,6
501,5619, soirée priver savoir,0,3
502,1916,dis bel  branle,-1,3
503,1770,vouloir pas faire,-1,3
504,2671, mourir  grandchose fait gagnepain,-1,4
505,661,raison bien dame,1,3
506,653,faire miniconférence bureau ovale,0,4
507,6758,tom pouvoir pas savoir  estce pas,-1,6
508,8390, femme blond imper beige foutre,-1,5
509,8206,bon rester pas piquet allez chercher extincteur,-1,7
510,2102,prêts mettre,-1,2
511,2466,ll  pas caméra tête,0,4
512,7104,pas maraud maraud,-1,3
513,2487,devoir avouer  éprouve immense tendress,1,5
514,1738,singe  pas censé,-1,3
515,9991, estce   estce  comprendre  train péter plomb progrès aller peutêtre demander luimême faire interner,-1,13
516,549, pas dûner,-1,2
517,3376,laisse pas devoir sauver,1,4
518,3261,aller faire virée new york appeler,-1,6
519,8091,travailler voix pouvoir pas hippie,-1,5
520,1545,rappelletoi falloir toujours faire chose rêve,1,6
521,6874,mangez besoin jour venir,1,4
522,4796,échange paulie protéger vouloir tondre,-1,5
523,9496,lucien sentir fraude fiscal nez  fous,-1,6
524,3105,baron croire ’ béguin,1,4
525,8433,âne  pas cheveux voir vouloir,0,5
526,6291,bruno  famille,0,2
527,7413,tour borden  rien comparer  style,-1,5
528,1345, bizarre  choisir quitter mère patri,-1,5
529,359,aller appliquer leçon voir  comprendre,1,5
530,3182,hmm pourvoir souvenir formule magique,0,5
531,1761,paniquer disent sorte chose,-1,4
532,4730,bien bien charle aller bien bien aller bien,1,8
533,3153,petit  faire penser antíer,0,4
534,1092,voix présent,0,2
535,1460,conduire lâche,-1,2
536,7543, estce fai dépasser pas idiot,-1,5
537,3465,avertissement  urgence fort pluie neige émettre,-1,6
538,1917,jimmy couper lien rattachaient casse,0,5
539,9559, clodo  clodo bon nuitée petiot dégueulasse beuh,-1,7
540,415,falloir garder copie reçu destiner donateur,0,6
541,8203,vider bouteille bouteille parfum,-1,4
542,4131, croire  poser question,0,3
543,730,oui  faire temps maison,0,4
544,9329,  pas masse poste secteur di,-1,5
545,6302,vouloir police type,0,3
546,3227,pas tromper  envoyer journal,0,4
547,3009,nourrissez acheter vêtement,0,3
548,6690,sentais vraiment mal aller bien,-1,5
549,9083,siffle écurie maman  passer  âge cours maintien,0,7
550,5785,falloir trouver vraiment,0,3
551,9415,ensuite temps jour semaine mois,0,5
552,98,hina travaille temps mort maman,0,5
553,7929,préférer partager  journal avides potin,-1,5
554,8946,ressort chargeur trop tendre  enrayer,-1,5
555,288,forme équipe,1,2
556,998,monde rapporte,1,2
557,2755, estce fabriquer,-1,2
558,8575,aller faire petit rémi  bon aller faire,1,7
559,3649,pas aller  arranger,-1,3
560,2008,commandant créature défier loi  évolution,-1,5
561,6191,croire pas magie perrin croire logique,0,6
562,4478,pas femme conduire voiture,-1,4
563,2485, astr nuit  pas splendeur,1,4
564,920,commerce formidable vendell,1,3
565,1428,fils  occuper pas trône jure,-1,5
566,4638,souffrir erreur  fin,-1,3
567,6332,trouver vite allié utile roi france,1,6
568,4614,’ demande surpasser,0,3
569,9037,pouvoir venir lampe marche pas cuisine,-1,6
570,511,connaître gorman pouvoir pas  riche,-1,5
571,6504,crain lord ascot décéder mer,-1,5
572,6015,faire pas mal mouche,1,4
573,409, vite sentir partir moimême,1,4
574,3843,parcequ personn franchement monde merdique cinéma,-1,6
575,9850,aller bien expliquer  pas problème aller voir   pas problème,-1,9
576,4072, déclaration rumeur circuler,0,3
577,5655, jamais entendre chien couiner filemoi flingue,-1,6
578,5358,très affectueux impatient,1,3
579,2903, pas genre passer inaperçu bordel,-1,5
580,5556,savoir  espèr reconnaissant,1,3
581,1940,fai veux ,0,2
582,1970,déranger pas  robby chose,0,4
583,4043,veux bosser payer dette pouvoir  arranger,-1,6
584,9969, appeler jeanpatrice benjamin estce parti florence  oui raccrocher  fixer,-1,9
585,5620, jugeote filemoi ,0,2
586,2192, risée cité rire aller  arrêter,-1,5
587,5535, cause  devoir arréter  allaiter,-1,4
588,2385,britannique allié français mener combat désespérer,-1,6
589,4274,mesdame monsieur prie  accueillir scène,1,5
590,3394,deale sachet campus devoir,-1,4
591,8648, pas soir  bêteslà demander énormément soin,-1,6
592,1992, veille  découverte suprême,0,3
593,1254,mec greenpeace débarquer armer cagoulé,-1,5
594,1034,temps homme aller trouver attirante,1,5
